Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Aiki-Centre Melbourne,44 Lynch Street,Hawthorn,3122,VIC,-37.821511,145.029865,Martial Arts,Boroondara (C),Eastern Metropolitan Region
Australian National Kung Fu Federation,Victorian & Tasmanian Branch,Werribee,3030,VIC,-37.902906,144.658475,Martial Arts,Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region
Balwyn Judo Club,146 Normanby Road,Kew East,3102,VIC,-37.797229,145.055907,Martial Arts,Boroondara (C),Eastern Metropolitan Region
Bendigo Taekwondo Club,St Paul's Cathedral Hall,Bendigo,3550,VIC,-36.758711,144.283747,Martial Arts,Greater Bendigo,Loddon-Mallee
Dominance Mixed Martial Arts,555 Victoria Street,Richmond,3121,VIC,-37.810985,145.005085,Martial Arts,Yarra (C),North and West Metropolitan Region
Hall's Taekwondo Brunswick West,448 Moreland Road,Brunswick West,3055,VIC,-37.753271,144.943489,Martial Arts,Moreland (C),North and West Metropolitan Region
Hall's Taekwondo Heidelberg West,Front of Mall,Heidelberg West,3081,VIC,-37.748872,145.041466,Martial Arts,Banyule (C),North and West Metropolitan Region
Hall's Taekwondo Sunshine,178 Duke Street,Sunshine,3020,VIC,-37.776123,144.847672,Martial Arts,Maribyrnong (C); Brimbank (C),North and West Metropolitan Region
Hall's Taekwondo Tullamarine,261 Mickleham Road,Tullamarine,3043,VIC,-37.682323,144.883104,Martial Arts,Brimbank (C),North and West Metropolitan Region
Issei Ryu Bujutsu,5 Wallace Avenue,Point Cook,3030,VIC,-37.874718,144.738319,Martial Arts,Wyndham (C),North and West Metropolitan Region
Judo Bendigo,53 Breen Street,Bendigo,3550,VIC,-36.768679,144.277446,Martial Arts,Greater Bendigo (C),Loddon-Mallee Region
Lifestyle Kung Fu Dandenong,111 Lonsdale Street,Dandenong,3175,VIC,-37.994324,145.216863,Martial Arts,Greater Dandenong (C),Southern Metropolitan Region
Lifestyle Kung Fu Oakleigh,54A Portman Street,Oakleigh,3166,VIC,-37.900417,145.090725,Martial Arts,Monash (C),Eastern Metropolitan Region
Melbourne Martial Arts,Vaults 9 & 10 Banana Alley,Melbourne,3000,VIC,-37.819659,144.962857,Martial Arts,Melbourne (C),North and West Metropolitan Region
Melbourne Martial Arts - Brunswick,134 Victoria Street,Brunswick East,3057,VIC,-37.768398,144.972902,Martial Arts,Moreland (C),North and West Metropolitan Region
Melbourne Martial Arts - Collingwood,Collingwood College,Collingwood,3066,VIC,-37.803123,144.983651,Martial Arts,Yarra (C),North and West Metropolitan Region
Melbourne Martial Arts - Eltham,Factory 6/1625 Main Road,Research,3095,VIC,-37.699541,145.187663,Martial Arts,Nillumbik (S),North and West Metropolitan Region
Melbourne Martial Arts - Essendon,Essendon Angling Club,Moonee Ponds,3039,VIC,-37.766923,144.922242,Martial Arts,Moonee Valley (C),North and West Metropolitan Region
Melbourne Martial Arts - Macleod,YMCA Macleod,Macleod,3085,VIC,-37.726738,145.070251,Martial Arts,Darebin (C); Banyule (C),North and West Metropolitan Region
Mt Waverley Judo Club,45 Miller Crescent,Mount Waverley,3149,VIC,-37.874575,145.127489,Martial Arts,Monash (C),Eastern Metropolitan Region
Pro-Active Self Defence Academy,Factory 8,Thomastown,3074,VIC,-37.678168,144.990712,Martial Arts,Whittlesea (C),North and West Metropolitan Region
Tactical Krav Maga Training,RingFit Training Room,St Kilda,3182,VIC,-37.867512,144.978981,Martial Arts,Port Phillip (C),Southern Metropolitan Region
Victorian Judo Academy,French Street Hall,Lalor,3075,VIC,-37.672237,145.019886,Martial Arts,Whittlesea (C),North and West Metropolitan Region
YMCA Judo Club,76 Yarra Street,Geelong,3220,VIC,-38.149017,144.362697,Martial Arts,Greater Geelong,Barwon S/W
Australian Karate Federation Inc,Unit 6/93 McNamara Avenue,Airport West,3042,VIC,-37.723781,144.88129,"Martial Arts,State body",Moonee Valley (C); Brimbank (C),North and West Metropolitan Region
Taekwondo Victoria,Level 2/232 Victoria Parade,East Melbourne,3002,VIC,-37.809158,144.979639,"Martial Arts,State body",Melbourne (C),North and West Metropolitan Region
Tai Chi Australia,PO Box 59,Glen Iris,3146,VIC,-37.860009,145.057355,"Martial Arts,State body,Tai Chi",Stonnington (C); Boroondara (C),Southern Metropolitan Region; Eastern Metropolitan Region
